	SubjectID1	SubjectID2	Group1	Group2	Distance
115	SRR7013985	SRR7013971	Crohn's disease	Crohn's disease	0.501407352442466
116	SRR7013985	SRR7013972	Crohn's disease	Crohn's disease	0.5038148361985061
117	SRR7013985	SRR7013975	Crohn's disease	Crohn's disease	0.4632858297394066
118	SRR7013985	SRR7013976	Crohn's disease	Crohn's disease	0.4831807496615887
119	SRR7013985	SRR7013977	Crohn's disease	Crohn's disease	0.5347939505818492
120	SRR7013986	SRR7013953	Crohn's disease	Crohn's disease	0.5894230832889146
121	SRR7013986	SRR7013954	Crohn's disease	Crohn's disease	0.44990449590074855
122	SRR7013986	SRR7013955	Crohn's disease	Crohn's disease	0.5485560507137014
123	SRR7013986	SRR7013956	Crohn's disease	Crohn's disease	0.5028404083305287
124	SRR7013986	SRR7013958	Crohn's disease	Crohn's disease	0.5223757367626454
125	SRR7013986	SRR7013959	Crohn's disease	Crohn's disease	0.5790358698363279
126	SRR7013986	SRR7013960	Crohn's disease	Crohn's disease	0.4469190613555319
127	SRR7013986	SRR7013961	Crohn's disease	Crohn's disease	0.5327456486237243
128	SRR7013986	SRR7013969	Crohn's disease	Crohn's disease	0.5690651602269945
129	SRR7013986	SRR7013970	Crohn's disease	Crohn's disease	0.558640098980476
130	SRR7013986	SRR7013971	Crohn's disease	Crohn's disease	0.543333682349834
131	SRR7013986	SRR7013972	Crohn's disease	Crohn's disease	0.5031023115595258
132	SRR7013986	SRR7013975	Crohn's disease	Crohn's disease	0.5195866161310931
133	SRR7013986	SRR7013976	Crohn's disease	Crohn's disease	0.4986051151511469
134	SRR7013986	SRR7013977	Crohn's disease	Crohn's disease	0.5497935464104854
135	SRR7013986	SRR7013985	Crohn's disease	Crohn's disease	0.36368474796658845
136	SRR7013990	SRR7013953	Crohn's disease	Crohn's disease	0.641107109994245
137	SRR7013990	SRR7013954	Crohn's disease	Crohn's disease	0.45571896612945717
138	SRR7013990	SRR7013955	Crohn's disease	Crohn's disease	0.5616565806761439
139	SRR7013990	SRR7013956	Crohn's disease	Crohn's disease	0.5680709619578775
140	SRR7013990	SRR7013958	Crohn's disease	Crohn's disease	0.5960083021592867
141	SRR7013990	SRR7013959	Crohn's disease	Crohn's disease	0.5420279379292712
142	SRR7013990	SRR7013960	Crohn's disease	Crohn's disease	0.49311331998508484
143	SRR7013990	SRR7013961	Crohn's disease	Crohn's disease	0.5829568926853531
144	SRR7013990	SRR7013969	Crohn's disease	Crohn's disease	0.5403815070084977
145	SRR7013990	SRR7013970	Crohn's disease	Crohn's disease	0.5043296366169884
146	SRR7013990	SRR7013971	Crohn's disease	Crohn's disease	0.44037525461828336
147	SRR7013990	SRR7013972	Crohn's disease	Crohn's disease	0.49852377740190534
148	SRR7013990	SRR7013975	Crohn's disease	Crohn's disease	0.4832167866355443
149	SRR7013990	SRR7013976	Crohn's disease	Crohn's disease	0.4996276719363116
150	SRR7013990	SRR7013977	Crohn's disease	Crohn's disease	0.5166718412294353
151	SRR7013990	SRR7013985	Crohn's disease	Crohn's disease	0.47954575340640954
152	SRR7013990	SRR7013986	Crohn's disease	Crohn's disease	0.5684627306331027
153	SRR7013991	SRR7013953	Crohn's disease	Crohn's disease	0.5808536537587997
154	SRR7013991	SRR7013954	Crohn's disease	Crohn's disease	0.4694317824019258
155	SRR7013991	SRR7013955	Crohn's disease	Crohn's disease	0.47302048012523795
156	SRR7013991	SRR7013956	Crohn's disease	Crohn's disease	0.5022422384045918
157	SRR7013991	SRR7013958	Crohn's disease	Crohn's disease	0.5118573228147811
158	SRR7013991	SRR7013959	Crohn's disease	Crohn's disease	0.48704757399506077
159	SRR7013991	SRR7013960	Crohn's disease	Crohn's disease	0.41451897401799354
160	SRR7013991	SRR7013961	Crohn's disease	Crohn's disease	0.5378277527541009
161	SRR7013991	SRR7013969	Crohn's disease	Crohn's disease	0.5634568834611814
162	SRR7013991	SRR7013970	Crohn's disease	Crohn's disease	0.4919569367718528
163	SRR7013991	SRR7013971	Crohn's disease	Crohn's disease	0.41486257715373165
164	SRR7013991	SRR7013972	Crohn's disease	Crohn's disease	0.4240130850262008
165	SRR7013991	SRR7013975	Crohn's disease	Crohn's disease	0.41112517292578127
166	SRR7013991	SRR7013976	Crohn's disease	Crohn's disease	0.4177961657465894
167	SRR7013991	SRR7013977	Crohn's disease	Crohn's disease	0.5078879190911617
168	SRR7013991	SRR7013985	Crohn's disease	Crohn's disease	0.5095816299514505
169	SRR7013991	SRR7013986	Crohn's disease	Crohn's disease	0.4544250225689268
170	SRR7013991	SRR7013990	Crohn's disease	Crohn's disease	0.4844293869605859
171	SRR7013992	SRR7013953	Crohn's disease	Crohn's disease	0.6459502914935877
172	SRR7013992	SRR7013954	Crohn's disease	Crohn's disease	0.4615169203544101
173	SRR7013992	SRR7013955	Crohn's disease	Crohn's disease	0.5726347770797331
174	SRR7013992	SRR7013956	Crohn's disease	Crohn's disease	0.48545745482814906
175	SRR7013992	SRR7013958	Crohn's disease	Crohn's disease	0.531952530008139
176	SRR7013992	SRR7013959	Crohn's disease	Crohn's disease	0.5675432867250836
177	SRR7013992	SRR7013960	Crohn's disease	Crohn's disease	0.5251276319835024
