	shannon_entropy
SRR7014166	2.461394260264171
SRR7014169	3.6198743064578416
SRR7014170	4.380069805113127
SRR7014171	5.318571073685049
SRR7014172	4.864361587115445
SRR7014173	4.169785882391633
SRR7014174	4.694191097287664
SRR7014178	4.017772799526442
SRR7014179	3.6425056522118786
SRR7014180	3.170165497759064
SRR7014181	4.503476895131676
SRR7014182	4.0328369681485015
SRR7014183	4.011465270060344
SRR7014184	3.1533611820314404
SRR7014185	3.5924008038087014
SRR7014186	3.6011662631416956
SRR7014187	4.413551213713846
SRR7014188	3.7555012597803983
SRR7014198	4.27592434477485
SRR7014199	5.381693616962136
